"T_c (C)";"q_dot_in (MW)";"q_dot_solar (MW)";"q_dot_out (MW)";"T_amb (°C)";"I (W/m2)";"phi (eur/Wh)"
331.6094643577;0.7770;0.0033;0.7402;-3.9;4;0.0000
378.5606872509;0.7797;0.1897;0.8555;-1.7;232;3.0200
354.3797338987;0.7826;0.0474;0.7921;0.6;58;24.0736
395.3342191811;0.7860;0.2363;0.8911;3.3;289;2.1781
480.2564498125;0.7889;0.6377;1.1009;5.6;780;0.7337
474.121473628;0.7931;0.5379;1.0813;8.9;658;0.7943
450.0528850737;0.7937;0.4120;1.0202;9.4;504;1.0108
436.5142436251;0.7944;0.3556;0.9855;10;435;1.1981
412.7456581429;0.7944;0.2477;0.9262;10;303;1.7378
427.3321704892;0.7944;0.3319;0.9626;10;406;1.3616
386.8948454532;0.7903;0.1447;0.8658;6.7;177;3.0303
347.6526650249;0.7882;0.0000;0.7696;5;0;0.0000
342.2488760349;0.7874;0.0000;0.7567;4.4;0;0.0000
339.0177793529;0.7833;0.0000;0.7527;1.1;0;0.0000
338.2980213847;0.7826;0.0000;0.7515;0.6;0;0.0000
337.7248313204;0.7819;0.0000;0.7508;0;0;0.0000
337.1737373073;0.7811;0.0000;0.7502;-0.6;0;0.0000
335.801489948;0.7791;0.0000;0.7487;-2.2;0;0.0000
336.5703738203;0.7805;0.0000;0.7493;-1.1;0;0.0000
336.6405457002;0.7805;0.0000;0.7495;-1.1;0;0.0000
335.7457481711;0.7791;0.0000;0.7486;-2.2;0;0.0000
335.6581470804;0.7791;0.0000;0.7484;-2.2;0;0.0000
336.5512452348;0.7805;0.0000;0.7493;-1.1;0;0.0000
336.6386706245;0.7805;0.0000;0.7495;-1.1;0;0.0000
337.2153478168;0.7805;0.0025;0.7509;-1.1;3;0.0000
349.6404687232;0.7819;0.0523;0.7810;0;64;0.0000
363.3473448632;0.7854;0.0956;0.8119;2.8;117;8.6443
420.143153077;0.7874;0.3442;0.9516;4.4;421;1.3940
445.9830243239;0.7909;0.4300;1.0127;7.2;526;1.0321
413.6638216475;0.7923;0.2518;0.9306;8.3;308;1.6555
372.2678897478;0.7937;0.0777;0.8259;9.4;95;7.0975
402.1363147232;0.7944;0.2346;0.8997;10;287;2.1743
371.5042501132;0.7944;0.0777;0.8233;10;95;7.9379
360.8318939435;0.7937;0.0507;0.7973;9.4;62;63.6440
349.5200637836;0.7917;0.0123;0.7708;7.8;15;0.0000
344.8405542173;0.7909;0.0000;0.7598;7.2;0;0.0000
343.883308371;0.7903;0.0000;0.7580;6.7;0;0.0000
342.3961375766;0.7882;0.0000;0.7563;5;0;0.0000
341.7580705811;0.7874;0.0000;0.7555;4.4;0;0.0000
341.6905087996;0.7874;0.0000;0.7553;4.4;0;0.0000
341.6819773082;0.7874;0.0000;0.7553;4.4;0;0.0000
340.7779769843;0.7860;0.0000;0.7544;3.3;0;0.0000
341.1824948947;0.7868;0.0000;0.7547;3.9;0;0.0000
